name,description
Jeera Pulao,Basmati rice tempered with whole cumin seeds and ghee
Vegetable Biryani,Fragrant basmati rice layered with seasonal vegetables and aromatic spices
Kashmiri Pulao,Sweet and aromatic pulao with dry fruits and saffron
Zafrani Tarkari Biryani,Seasonal vegetable casserole layered with fresh mint ginger and cardamom-mace powder
Subz Pulao,Basmati rice cooked with fresh garden vegetables
Tomato Rice,Tangy tomato-flavored rice with mustard and curry leaves
Motia Pulao,Delicately flavored rice with whole spices and ghee
Coconut Rice,South Indian style rice tempered with coconut mustard and curry leaves
Lemon Rice,Tangy lemon-flavored rice with peanuts and curry leaves
Vegetable Hakka Noodles,Stir-fried noodles tossed with fresh vegetables in soy sauce
Vegetable Fried Rice,Wok-tossed rice with seasonal vegetables and soy
Singapore Noodles,Curry-flavored rice noodles with vegetables
Burnt Garlic Noodles,Hakka noodles flavored with roasted garlic
Thai Fried Rice,Fragrant jasmine rice stir-fried with Thai basil and vegetables
