name,description
Dal Makhani,Overnight cooked creamy black lentils tempered with garlic fenugreek and topped with butter and cream
Dal Amritsari,Amritsari style mixed lentils with a rich buttery tempering
Channa Dal,Bengal gram lentils tempered with cumin and dried red chillies
Dal Yellow Tarkewali,Yellow lentils tempered with garlic and byadgi chilies
Dal Panchratan,Five-lentil medley slow cooked with aromatic spices
Pindi Cholle,Robust chickpea curry with a signature Pindi spice blend
Rajma Masala,Kidney beans soaked overnight and cooked with freshly ground Punjabi masala
Dal Sultani,Royal dal preparation enriched with cream and spices
Dal Maharani,Rich and creamy whole black lentils cooked on slow fire
Kadi Pakoda,Deep fried fritters dunked in a yogurt-based curry made with besan and spices
Dal Tadka,Yellow lentils tempered with garlic cumin and byadgi chilies
