name,description
Paani Poori,Crispy puris served with variety of fillings and tangy waters — Chatpata Pudina Khatta Meetha Amrood Hing aur Saunth
Dilli Ki Khas Dahi Bhalla Aur Papdi Chaat,Soft lentil dumplings served with crispy papri rich curd and spicy toppings
Agra Ki Aloo Bhalla Chat,Aloo tikki topped with saunth and chefs special spice blend
Pao Bhaji Station,Maharashtra special seasonal vegetable bhaji topped with homemade white butter served with crispy maska pao
Gupta Ji Ka Patila Muttera,Overnight soaked muttera with imli paani chopped tomatoes and fresh coriander
Bhopali Bhutte Ki Kees,Tangy sweet corn mash spiced with chilies and scented with butter served with missi cookies
Ajmeri Kadhi Kachori,Stuffed mini kachoris served with piping hot kadhi chutney and sev
Benarasi Tamatar Ki Chaat,Ripe tomatoes cooked with a medley of spices topped with crisp sev and fresh coriander
Moong Dal Ka Cheela,Yellow lentil pancake with a choice of aachaari mutter or paneer bhurji filling
Desi Ghee Aloo Tikki,Shallow fried potato cutlets filled with spiced masala on a desi ghee griddle
Bedmi Poori,Lentil-stuffed deep-fried bread served with hing wale aloo and methi ki launji
Dry Fruit Chaat,Assortment of dry fruit with exotic vegetable mixed on a hot griddle with classical spices
