name,description
Greek Farmer Style Salad,Lettuce red onions cucumber feta cheese olives and capers in olive oil vinaigrette
Thai Raw Papaya Salad,Shredded raw papaya tossed with Thai chili lime and peanut dressing
Tomato Mozzarella Salad,Fresh bocconcini and sliced tomato marinated with basil pesto and balsamic
Hummus,Creamy chickpea dip with tahini lemon and olive oil
Babaganoush,Smoky roasted eggplant blended with tahini and garlic
Apple Celery and Walnut Salad,Crisp apple and celery tossed with toasted walnuts in light dressing
Kachumber Salad,Fresh Indian salad of diced onion tomato cucumber and lemon
Sprout Salad,Healthy mix of sprouted lentils with tangy Indian spices
Papdi Chat Salad,Crispy flour wafers topped with yoghurt tamarind and mint chutney
Aloo Anar Ki Chat,Potatoes and pomegranate tossed in chaat masala
Three Beans Salad,Mixed beans tossed in herbed vinaigrette
Cucumber Mint Yoghurt,Cool cucumber and mint folded into creamy yoghurt
Paneer Tikka Salad,Grilled cottage cheese on a bed of fresh greens
Broccoli and Corn Salad,Blanched broccoli and young corn in mustard dressing
Thai Chicken and Glass Noodle Salad,Glass noodles tossed with shredded chicken in Thai lime dressing
Ankurit Kachumbar Salad,Sprouts and Indian kachumbar salad with fresh herbs
