name,description
Focaccia,Italian herb-topped flatbread baked golden and crisp
Garlic and Cheese Bread,Warm bread topped with roasted garlic and melted cheese
Pita Bread,Soft Middle Eastern pocket bread perfect for dipping
Ciabatta,Rustic Italian bread with an airy crumb and crisp crust
Rye Bread,Dense European bread with an earthy rye flavor
Multigrain Bread,Wholesome bread packed with assorted grains and seeds
French Loaf,Classic crispy baguette with a soft fluffy interior
Grissini,Thin Italian breadsticks crispy and crunchy
Oregano Focaccia,Focaccia seasoned with fragrant oregano and olive oil
Olive Bread,Artisan bread studded with Mediterranean olives
Pesto and Onion Roll,Soft rolls swirled with basil pesto and caramelized onion
Lavash,Thin crispy Armenian flatbread
