name,description
Mix Pickle,Traditional Indian mixed vegetable pickle with mustard oil and spices
Mango Pickle,Raw mango preserved in mustard oil with aromatic spices
Lemon Pickle,Tangy lemon pickle seasoned with turmeric and fenugreek
Assorted Papad,Crispy lentil wafers served plain or roasted
Masala Papad,Roasted papad topped with onion tomato and chaat masala
Green Chilli Pickle,Fiery green chillies pickled in mustard oil and spices
Garlic Pickle,Pungent garlic cloves preserved in spiced mustard oil
Sweet Mango Chutney,Ripe mango relish with a perfect sweet and tangy balance
Pudina Chutney,Fresh mint and coriander chutney with green chillies
Imli Chutney,Sweet and sour tamarind chutney with jaggery and spices
