name,description
Malai Kofta,Deep-fried cottage cheese and potato dumplings in rich cashew cream gravy
Subz Bemishal,Assorted seasonal vegetables in a chef's special masala
Dhingri Palak,Fresh mushrooms cooked with creamy spinach
Aloo Gobi Ki Sabzi,Classic potato and cauliflower dry preparation with turmeric and cumin
Vegetable Jalfrezi,Mixed vegetables stir-fried with peppers in a tangy sauce
Sarson Ka Saag,Mustard greens slow-cooked with spices — a Punjabi winter classic
Soya Dhaniya Adraki,Soya cooked with a rich gravy of coriander and ginger
Amritsari Subz Ka Mela,Seasonal vegetables with earthy spinach and garlic tossed in rich curry
Hyderabadi Khattey Baingan,Baby brinjal cooked in sour coconut milk gravy
Vegetable Nargishi Kofta,Vegetable dumplings stuffed with a boiled egg-style centre in spiced gravy
Fusilli Pasta in Tomato Sauce,Italian fusilli tossed in fresh tomato sauce with parmesan shaving
Grilled Exotic Vegetables,Rosemary and garlic marinated exotic vegetables grilled to perfection
Vegetable Lasagna,Layered pasta with seasonal vegetables bechamel and tomato sauce
Stir Fried Chinese Greens,Wok-tossed oriental greens in garlic and soy sauce
Green Thai Vegetable Curry,Seasonal vegetables in fragrant Thai green curry with coconut milk
Vegetables in Manchurian Sauce,Seasonal vegetable dumplings tossed in ginger soy Manchurian gravy
Tofu and Vegetable in Black Bean Sauce,Silken tofu and vegetables tossed in fermented black bean sauce
Makai Palak,Corn kernels simmered in a creamy spinach gravy
Baby Corn and Mushroom Ki Sabzi,Baby corn and button mushrooms in a light Indian spiced gravy
Penne Arrabiata,Penne pasta in a spicy garlic and tomato sauce
Hing Dhaniya Ka Chatpatta Aloo,Baby potatoes cooked in home-ground asafoetida and coriander spice
