name,description
Fish Tikka Tandoori,Boneless fish marinated in Indian spices and grilled in clay oven
Murgh Malai Kebab,Creamy chicken kebabs marinated in cheese and cream grilled in tandoor
Murgh Ka Barra Kebab,Whole leg chicken marinated overnight in robust spices
Kashmiri Mirch Ka Murgh Tikka,Green herb marinated chicken tikka cooked in clay oven
Chicken Satay with Peanut Sauce,Grilled chicken skewers served with rich peanut dipping sauce
Drums of Heaven,Crispy fried chicken drumettes tossed in spicy oriental sauce
Chilli Chicken Dry,Batter-fried chicken tossed with green chillies and soy sauce
Gosht Malai Seekh Kebab,Minced lamb kebabs enriched with cream and aromatic spices
Lagan Ki Boti,Tender lamb morsels slow-cooked with royal spices
Shikampuri Kebab,Lamb and lentil kebab stuffed with hung curd
Fish Fingers with Tartar Sauce,Crumb-fried fish strips served with classic tartar sauce
Chicken and Bell Pepper Skewer,Grilled chicken pieces with colourful bell peppers on a skewer
BBQ Chicken Wings,Chicken wings glazed with smoky barbecue sauce
Juhu Tawa Fish Fry,A Juhu classic masala fried fish on wrought iron griddle
Goan Crab Cakes,Goan spice tempered crab medallions served with spicy relish
Tempura Fish,Light batter-fried fish fillet with oriental dipping sauce
