name,description
Gulab Jamun,Soft deep-fried milk dumplings soaked in rose-scented sugar syrup
Kesari Rasmalai,Soft cottage cheese patties in saffron-infused sweetened milk
Shahi Tukda,Deep fried bread triangles soaked in thickened milk with saffron and nuts
Gajar Ka Halwa,Slow-cooked grated carrot pudding with ghee milk and nuts (seasonal)
Moong Dal Halwa,Rich Bengal gram lentil pudding cooked in ghee with dry fruits
Rasgulla,Soft spongy cottage cheese balls in light sugar syrup
Kala Jamun,Dark caramelized version of gulab jamun with a richer flavour
Kesari Phirni,Saffron-scented rice pudding served in earthenware pots
Malai Cham Cham,Delicate cottage cheese sweets stuffed with clotted cream
Jalebi with Rabri,Fermented flour coils fried in ghee soaked in saffron syrup served with thickened milk
Rice Kheer,Creamy slow-cooked rice pudding with cardamom and pistachios
Double Ka Meetha,Hyderabadi bread pudding soaked in sweetened milk with nuts
Tiramisu,Classic Italian dessert with mascarpone coffee-soaked ladyfingers and cocoa
Chocolate Mousse,Rich and velvety dark chocolate mousse with a silky texture
Black Forest Cake,Chocolate sponge layered with cherries and whipped cream
Blueberry Panna Cotta,Silky Italian cream pudding topped with blueberry compote
Warm Chocolate Brownie,Dense chocolate and walnut brownie served warm
Creme Caramel,Silky baked custard with golden caramel sauce
Strawberry Cheesecake,Creamy cheesecake on a biscuit base topped with fresh strawberries
Apple Crumble,Warm spiced apple filling topped with buttery oat crumble
Red Velvet Cake,Moist red velvet sponge with cream cheese frosting
Fresh Fruit Tart,Buttery pastry shell filled with custard and fresh seasonal fruits
Chocolate Tart,Rich dark chocolate ganache in a crisp pastry shell
Lemon Gateaux,Light lemon sponge with tangy lemon curd and cream frosting
Sandesh,Bengali cottage cheese sweet delicately flavoured with cardamom
Kalakand,Milk cake with a grainy texture made from sweetened milk and paneer
Malpua with Rabdi,Indian pancakes soaked in sugar syrup served with thickened sweetened milk
Shree Khand,Strained yoghurt dessert flavoured with saffron cardamom and nuts
Khoya Burfi,Rich milk fudge squares garnished with silver leaf and pistachios
Chocolate Souffle,Warm airy baked chocolate dessert with a molten centre
