name,description
Nariyal Paani Lemonade with Silver Pearls,A Catering Inc. specialty — refreshing coconut water blended with lemonade and silver pearls
Kokum Sherbet,An elixir from down south prepared with the delicate fruit Kokum
Rasam Shots,Warm tomato broth tempered with asafetida and mustard
Aam Panna,Raw mango cooler spiced with cumin and mint
Jaljeera,Tangy cumin-flavored refreshing drink with mint and lemon
Thandai,Traditional Indian milk drink infused with saffron and dry fruits
Rose Sharbat,Chilled rose petal infused sweet drink with basil seeds
Sattu Sharbat,Roasted gram flour cooler with lemon and rock salt
Buransh Sherbet,Himalayan rhododendron flower cooler with a tangy-sweet note
Bael Sharbat,Wood apple pulp blended with sugar and chilled to perfection
