name,description
Cucumber Raita,Cool cucumber and yoghurt dip with cumin tempering
Boondi Raita,Tiny gram flour pearls folded into spiced yoghurt
Mix Raita,Mixed vegetable raita with cumin and chaat masala
Mint Pineapple Raita,Refreshing yoghurt with fresh mint and pineapple chunks
Pudina Raita,Cooling mint-flavored yoghurt
Jeera Raita,Yoghurt tempered with roasted cumin seeds
Onion and Chili Raita,Spiced yoghurt with crunchy onions and green chillies
Tomato Raita,Fresh tomato and herb raita with a touch of chaat masala
Mixed Fruit Raita,Seasonal fruits folded into sweetened spiced yoghurt
Minted Vegetable and Anar Raita,Pomegranate and vegetable raita with fresh mint
