name,description
Dahi Ke Kebab,Creamy yoghurt kebabs pan-seared to golden perfection
Pudina Paneer Tikka,Cottage cheese marinated in fresh mint and spices grilled in tandoor
Hara Bhara Kebab,Spinach and green pea patties with a hint of spice
Paneer Tikka,Marinated cottage cheese grilled in tandoor with bell peppers
Tandoori Vilayti Chat,Tandoor-grilled exotic vegetables with chaat masala
Subz Ke Galauti Kebab,Melt-in-mouth vegetable kebabs inspired by Lucknowi tradition
Bhuttey Ke Kebab,A fine preparation of minced vegetables layered with American corn and barbecued to perfection
Achari Soya Chaamp,Soyabean morsels marinated in spiced yoghurt and pickling spices glazed in clay oven
Sichuan Chilly Paneer,Wok-tossed cottage cheese with dried red chillies and Sichuan pepper
Vegetable Spring Roll,Seasonal vegetables wrapped in crispy pastry served with sweet chili sauce
Golden Fried Young Corn,Batter-fried baby corn with a crispy golden coating
Salt and Pepper Paneer,Crisp fried paneer tossed with cracked pepper and spring onion
Vegetable Tempura,Assorted vegetables in light tempura batter with dipping sauce
Honey Chilly Potato,Crispy potato fingers tossed in a hot and sweet dressing
Vegetable Cutlets,Pan-fried mixed vegetable patties with herbs and breadcrumbs
Cheese Balls,Golden fried cheese-filled balls with a crispy exterior
Corn Cheese Nuggets,Crunchy corn and cheese bites served with mint chutney
Arancini with Spicy Aioli,Italian risotto balls deep fried and served with spicy garlic mayo
Falafel with Garlic Yogurt,Middle Eastern chickpea fritters served with creamy garlic yogurt dip
Nutty Paneer Tikka,Cottage cheese steaks filled with a nutty mix marinated with aromatic spices glazed in tandoor
