name,description
Tandoori Roti,Whole wheat bread baked in charcoal tandoor
Plain Naan,Fermented refined flour bread cooked in clay oven
Garlic Naan,Clay oven bread topped with roasted garlic and butter
Butter Naan,Soft naan brushed with melted butter
Missi Roti,Punjabi favourite Bengal gram bread with onions and coriander seeds
Laccha Paratha,Multi-layered whole wheat buttered flaky bread
Methi Paratha,Fenugreek leaf flavored layered whole wheat bread
Pudina Paratha,Dried mint topped multi-layered flaky whole wheat bread with butter
Cheese Kulcha,Stuffed refined flour bread with melted cheese filling
Paneer Kulcha,Clay oven bread stuffed with spiced cottage cheese
Ajwain Ka Lachcha Parantha,Multi-layered whole wheat buttered bread with carom seeds
Chili Naan,Spicy green chilli studded clay oven bread
