name,description
Butter Chicken,Iconic creamy tomato-based curry with tender tandoori chicken
Murgh Tikka Butter Masala,Tandoori chicken tikka simmered in rich buttery tomato gravy
Kadhai Chicken,Chicken cooked with bell peppers in a wok-style kadhai masala
Murgh Kali Mirch,Chicken in a fragrant black pepper and cream sauce
Chicken Korma,Mild and creamy chicken curry with cashew and yoghurt
Murgh Makhani Kesari,Saffron-scented chicken in velvety butter sauce
Laal Maas,Fiery Rajasthani lamb curry with mathania chillies
Raara Gosht,Lamb cooked in a rich thick gravy with minced meat
Mutton Roganjosh,Aromatic Kashmiri lamb curry with fennel and ginger
Gosht Dhaniwal Korma,Lamb in a fragrant coriander and yoghurt based korma
Kadai Gosht,Lamb with bell peppers and whole spices in a wok-style curry
Punjabi Fish Curry,North Indian style fish in a robust onion-tomato gravy
Goan Fish Curry,Tangy coconut-based fish curry with kokum and Goan spices
Fish Thai Red Curry,Fish fillets in a spicy Thai red curry with coconut milk
Grilled Fish with Caper Butter,Fillet of fish marinated in lime and garlic served with capers and mustard emulsion
Sichuan Chicken,Wok-tossed chicken with Sichuan peppercorn and dried chillies
Chicken Black Bean Sauce,Diced chicken stir-fried with fermented black bean sauce
Stir Fried Lamb in Soya Sauce,Tender lamb slices wok-tossed with star anise in soy sauce
Herb Roast Chicken with Garlic Mash,Slow roasted whole chicken with herbs served with creamy garlic mashed potato
Honey Sesame Prawns,Crispy prawns glazed with honey and toasted sesame seeds
