name,description
Tomato Dhaniye Ka Shorba,Classic Indian tomato soup with fresh coriander
Surkh Tamatar Aur Tulsi Ka Shorba,Tomato elixir flavored with holy basil and byadagi chilies
Cream of Mushroom,Velvety cream soup with fresh button mushrooms and herbs
Hot and Sour Soup,Spicy and tangy oriental soup with vegetables and tofu
Sweet Corn Soup,Creamy sweet corn soup with fresh vegetables
Tom Yum Soup,Thai hot and sour soup with lemongrass and galangal
Lemon Coriander Soup,Light and refreshing soup with lemon and fresh coriander
Burmese Khowsuey,Coconut milk based Burmese soup with noodles and condiments
Minestrone with Basil Pesto,Italian vegetable soup finished with fresh basil pesto
Cream of Broccoli,Smooth and creamy broccoli soup with a hint of nutmeg
Murgh Aur Sabziyon Ka Shorba,Rich chicken and vegetable Indian broth
Chicken Tom Yum Soup,Thai style hot and sour chicken soup with lemongrass
Sweet Corn Chicken Soup,Creamy corn soup with shredded chicken
